股票代码,股票名称,行业,总市值(亿)
002085.SZ,万丰奥威,汽车,289.00
601899.SH,紫金矿业,铜,8286.00
603993.SH,洛阳钼业,铜,3889.00
600362.SH,江西铜业,铜,1528.00
000630.SZ,铜陵有色,铜,807.00
601168.SH,西部矿业,铜,721.00
300274.SZ,阳光电源,电力设备,3263.00
600406.SH,国电南瑞,电力设备,2166.00
002028.SZ,思源电气,电力设备,1526.00
605117.SH,德业股份,电力设备,1433.00
300014.SZ,亿纬锂能,电力设备,1424.00
600930.SH,华电新能,电力,2653.00
601991.SH,大唐发电,电力,1551.00
001289.SZ,龙源电力,电力,1493.00
600011.SH,华能国际,电力,1228.00
600905.SH,三峡能源,电力,1201.00
000338.SZ,潍柴动力,底盘与发动机系统,2888.00
601689.SH,拓普集团,底盘与发动机系统,1238.00
000559.SZ,万向钱潮,底盘与发动机系统,601.00
002126.SZ,银轮股份,底盘与发动机系统,448.00
301550.SZ,斯菱智驱,底盘与发动机系统,440.00
600111.SH,北方稀土,小金属,1817.00
001280.SZ,中国铀业,小金属,1592.00
601958.SH,金钼股份,小金属,677.00
000960.SZ,锡业股份,小金属,598.00
002428.SZ,云南锗业,小金属,592.00
600036.SH,招商银行,银行Ⅱ,9425.00
601658.SH,邮储银行,银行Ⅱ,5957.00
601328.SH,交通银行,银行Ⅱ,5894.00
601998.SH,中信银行,银行Ⅱ,4396.00
601166.SH,兴业银行,银行Ⅱ,3704.00
600028.SH,中国石化,石油石化,6203.00
600346.SH,恒力石化,石油石化,1411.00
002493.SZ,荣盛石化,石油石化,1208.00
000301.SZ,东方盛虹,石油石化,834.00
000703.SZ,恒逸石化,石油石化,564.00
002384.SZ,东山精密,印制电路板,4068.00
300476.SZ,胜宏科技,印制电路板,3312.00
600183.SH,生益科技,印制电路板,2448.00
002916.SZ,深南电路,印制电路板,2264.00
002938.SZ,鹏鼎控股,印制电路板,2182.00
600930.SH,华电新能,电力,2653.00
601991.SH,大唐发电,电力,1551.00
001289.SZ,龙源电力,电力,1493.00
600011.SH,华能国际,电力,1228.00
600905.SH,三峡能源,电力,1201.00
000708.SZ,中信特钢,特钢Ⅱ,740.00
002318.SZ,久立特材,特钢Ⅱ,267.00
000825.SZ,太钢不锈,特钢Ⅱ,231.00
600507.SH,方大特钢,特钢Ⅱ,114.00
600399.SH,抚顺特钢,特钢Ⅱ,105.00
