股票代码,股票名称,触发交易日,2-10日最高涨幅(%),2-10日最低跌幅(%),11-20日最高涨幅(%),11-20日最低跌幅(%),21-40日最高涨幅(%),21-40日最低跌幅(%),41-60日最高涨幅(%),41-60日最低跌幅(%),至今最高涨幅(%),至今最低跌幅(%)
600201.SH,生物股份,20250716,3.93,-1.62,1.62,-1.62,6.12,-6.35,27.37,-4.97,116.86,-6.35
600206.SH,有研新材,20260225,4.05,-8.05,-9.46,-23.48,7.37,-19.67,31.69,6.65,31.69,-23.48
600210.SH,紫江企业,20250901,2.46,-6.22,-2.46,-7.38,3.63,-6.48,3.63,-7.77,5.83,-15.28
600211.SH,西藏药业,20250804,4.01,-10.02,5.72,-3.01,22.17,-0.84,6.56,-2.97,22.17,-18.23
600219.SH,南山铝业,20251029,16.63,0.88,17.07,3.28,16.63,0.66,48.36,9.63,78.56,0.0
600226.SH,亨通股份,20250818,19.69,-0.31,19.37,9.06,53.75,27.19,45.62,27.5,110.31,-0.94
600236.SH,桂冠电力,20250709,-8.88,-12.38,-11.98,-14.54,-12.65,-14.94,-9.69,-16.29,61.1,-16.29
600237.SH,铜峰电子,20251212,6.56,-2.34,7.12,-0.33,20.8,4.78,24.03,4.0,24.03,-10.01
600256.SH,广汇能源,20260302,17.93,3.4,10.05,4.95,8.04,-7.26,4.33,-7.73,17.93,-7.73
600258.SH,首旅酒店,20251110,-0.43,-5.08,-0.56,-5.39,6.07,-6.38,11.21,3.53,11.21,-20.43
600266.SH,城建发展,20260105,28.14,11.83,18.64,-2.33,7.89,-6.27,-2.69,-13.8,28.14,-15.95
600267.SH,海正药业,20250704,18.87,3.29,17.37,6.48,8.45,1.41,2.54,-3.76,18.87,-10.8
600271.SH,航天信息,20251215,10.23,1.03,41.12,17.98,20.76,2.07,4.55,-5.27,41.12,-23.76
600273.SH,嘉化能源,20260106,13.76,-3.34,26.8,12.2,24.71,10.32,9.91,-9.91,26.8,-23.98
600284.SH,浦东建设,20250822,13.51,2.37,17.18,2.49,22.04,-3.79,0.0,-14.22,22.04,-29.03
600292.SH,电投水电,20251107,-11.33,-25.33,-23.67,-25.03,-21.0,-27.05,-16.96,-22.54,0.0,-27.05
600307.SH,酒钢宏兴,20260313,9.01,-6.76,-4.5,-17.12,-17.57,-23.42,-23.87,-28.83,9.01,-28.83
600308.SH,华泰股份,20251104,-3.11,-8.22,-10.0,-14.67,-9.11,-17.11,-7.33,-14.67,0.0,-22.22
600310.SH,广西能源,20260320,35.25,-5.12,-4.1,-10.66,15.16,-2.05,22.54,4.51,35.25,-10.66
600313.SH,农发种业,20260128,16.95,-1.85,22.38,-4.5,20.26,-2.25,1.72,-6.75,22.38,-20.4
600316.SH,洪都航空,20250718,11.62,4.41,13.38,3.81,8.39,-12.32,-4.01,-14.35,14.98,-26.93
600328.SH,中盐化工,20260311,5.43,-3.92,-2.62,-16.5,-10.26,-20.02,-18.51,-31.89,5.43,-31.89
600336.SH,澳柯玛,20251217,-4.08,-14.24,-12.57,-17.8,-7.54,-20.52,-14.35,-31.2,0.0,-31.2
