股票代码,股票名称,首次满足日期,10日涨幅(%),20日涨幅(%),40日涨幅(%)
688563.SH,航材股份,20260112,1.3513513513513538,6.404230317273794,-9.400705052878964
688776.SH,国光电气,20260112,-22.059992771955184,-16.508854354896993,-30.29273581496205
000739.SZ,普洛药业,20260113,7.47611017425521,4.047217537942678,2.810567734682406
000785.SZ,居然智家,20260113,-13.019390581717444,-16.62049861495845,-21.60664819944598
002135.SZ,东南网架,20260113,1.2433392539964525,9.591474245115455,35.87921847246893
002607.SZ,中公教育,20260113,-9.422492401215807,-10.334346504559267,-14.28571428571429
300164.SZ,通源石油,20260113,27.99442896935933,63.50974930362118,161.97771587743733
300315.SZ,掌趣科技,20260113,-12.827988338192418,-5.247813411078721,-22.740524781341115
301333.SZ,诺思格,20260113,-8.145920502092055,5.230125523012552,-20.410564853556494
603000.SH,人民网,20260113,-4.277864992150706,3.1004709576138114,-19.191522762951337
603888.SH,新华网,20260113,-9.698996655518393,1.189149015235973,-21.627647714604237
688065.SH,凯赛生物,20260113,-6.29820051413882,-12.837403598971726,-15.74550128534705
688639.SH,华恒生物,20260113,-7.66811804547654,-14.34446057087568,-20.4644412191582
688777.SH,中控技术,20260113,34.629366208313584,36.32053105737316,16.642958748221893
000516.SZ,国际医学,20260114,-19.386106623586432,-21.163166397415193,-19.386106623586432
000591.SZ,太阳能,20260114,11.067193675889339,10.474308300395263,19.367588932806335
000875.SZ,电投绿能,20260114,1.0339734121122643,-2.9542097488921613,6.351550960118178
002219.SZ,新里程,20260114,-13.090909090909086,-13.090909090909086,-13.090909090909086
300226.SZ,上海钢联,20260114,-11.818738518064901,-10.900183710961407,-14.819350887936302
300229.SZ,拓尔思,20260114,-24.61139896373056,-23.898963730569946,-36.398963730569946
300758.SZ,七彩化学,20260114,19.406528189910972,2.492581602373876,-15.192878338278945
300773.SZ,拉卡拉,20260114,-15.679551122194507,-13.653366583541146,-18.298004987531165
300842.SZ,帝科股份,20260114,45.04649721016739,38.375697458152494,21.1655300681959
301012.SZ,扬电科技,20260114,-6.089850249584033,-6.622296173044931,5.757071547420967
301275.SZ,汉朔科技,20260114,-15.70132588974181,-17.94836008374041,-41.46545708304258
600588.SH,用友网络,20260114,-18.095739084692273,-22.935297211993692,-32.45660178853236
601858.SH,中国科传,20260114,-14.902449149024491,-8.053134080531347,0.8717310087173136
605222.SH,起帆电缆,20260114,-1.819878674755019,-3.033131124591687,-1.4465702286514173
688368.SH,晶丰明源,20260114,22.248908296943227,-1.673944687045132,-9.82532751091703
688488.SH,艾迪药业,20260114,-11.749873928391319,-15.27987897125566,-19.011598587997984
002707.SZ,众信旅游,20260115,-12.211221122112205,-14.631463146314633,-27.61276127612761
301662.SZ,宏工科技,20260115,0.7898516036381001,0.41287697462900774,-15.03111536620393
600662.SH,外服控股,20260115,-10.319767441860465,-13.517441860465112,-23.837209302325576
002358.SZ,森源电气,20260116,6.201550387596891,24.03100775193798,14.418604651162786
002498.SZ,汉缆股份,20260116,17.660550458715583,55.27522935779814,83.48623853211008
300151.SZ,昌红科技,20260116,-6.7605633802816865,-2.3661971830986013,-16.3943661971831
