序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
1020,'603587,地素时尚,13.19,0.92%,0.12,2.58万手,413手,13.18,13.19,0.15%,0.54%,3384万,15.53 ①,非运动服装,13.19,12.95,12.98,13.07,1.84%,1.05,-54.82%,-398手,13.1,1.22万手,1.37万手,0.89,1手,155手,1.67,4.74亿,62.5亿元,4.74亿,62.5亿元,1.85%,-0.15%,1.68%,3.15%
1021,'600735,ST新华锦,6.6,0.92%,0.06,9.20万手,1099手,6.59,6.6,0.00%,2.16%,6008万,189.06 ①,其他饰品,6.68,6.42,6.55,6.54,3.98%,0.59,-24.39%,-938手,6.53,5.28万手,3.93万手,1.34,161手,119手,2.65,4.29亿,28.3亿元,4.25亿,28.1亿元,-1.49%,4.10%,7.76%,20.45%
1022,'603869,ST智知,11.01,0.92%,0.1,7744手,160手,11.01,11.02,0.09%,0.16%,847万,369.63 ①,IT服务Ⅲ,11.03,10.83,10.83,10.91,1.83%,0.58,62.72%,636手,10.94,3655手,4089手,0.89,20手,20手,1.45,4.94亿,54.4亿元,4.94亿,54.4亿元,0.92%,-0.27%,0.72%,1.51%
1023,'603982,泉峰汽车,7.72,0.92%,0.07,6.26万手,324手,7.71,7.72,0.13%,1.84%,4821万,亏损 ①,底盘与发动机系统,7.79,7.63,7.68,7.65,2.09%,0.75,-19.98%,-631手,7.71,2.65万手,3.60万手,0.74,290手,365手,1.33,3.65亿,28.2亿元,3.40亿,26.2亿元,3.21%,-2.03%,7.44%,14.16%
1024,'600858,XD银座股,5.52,0.91%,0.05,6.32万手,387手,5.52,5.53,0.18%,1.22%,3480万,10.11 ①,多业态零售,5.57,5.42,5.48,5.47,2.74%,0.78,-26.37%,-1996手,5.51,3.01万手,3.31万手,0.91,239手,749手,1.04,5.20亿,28.7亿元,5.18亿,28.6亿元,-0.18%,-3.83%,4.37%,9.04%
1025,'601963,重庆银行,11.05,0.91%,0.1,11.7万手,745手,11.05,11.06,-0.09%,0.58%,1.29亿,5.59 ①,银行Ⅱ,11.15,10.96,10.98,10.95,1.74%,0.74,-66.76%,-1458手,11.05,6.02万手,5.70万手,1.06,146手,140手,0.69,36.3亿,401亿元,20.3亿,225亿元,0.64%,6.87%,2.51%,4.50%
1026,'603370,华新精科,47.85,0.91%,0.43,2.85万手,469手,47.85,47.86,-0.02%,8.15%,1.36亿,62.64 ①,电力设备,48.4,46.78,47.16,47.42,3.42%,1.54,3.30%,18手,47.59,1.56万手,1.29万手,1.2,121手,141手,4.25,1.75亿,83.7亿元,3499万,16.7亿元,11.36%,8.85%,27.84%,34.65%
1027,'600056,中国医药,10.02,0.91%,0.09,10.6万手,2611手,10.01,10.02,0.00%,0.71%,1.05亿,20.57 ①,医药流通,10.03,9.9,9.9,9.93,1.31%,0.41,10.91%,935手,9.99,5.04万手,5.52万手,0.91,595手,371手,1.25,15.0亿,150亿元,15.0亿,150亿元,-1.18%,-4.66%,3.57%,9.43%
1028,'601858,中国科传,27.85,0.91%,0.25,14.2万手,2470手,27.84,27.85,-0.11%,1.79%,3.98亿,146.74 ①,出版,28.93,27.56,27.92,27.6,4.96%,0.66,-21.44%,-185手,28.06,6.73万手,7.45万手,0.9,46手,14手,3.86,7.91亿,220亿元,7.90亿,220亿元,-4.49%,0.14%,7.43%,15.48%
1029,'688029,南微医学,81.48,0.90%,0.73,9470手,48手,81.48,81.49,0.25%,0.50%,7673万,26.13 ①,医疗器械,82.02,80.21,80.56,80.75,2.24%,0.59,55.35%,89手,81.02,5346手,4124手,1.3,2手,3手,3.61,1.88亿,153亿元,1.88亿,153亿元,-1.43%,-3.21%,1.94%,4.80%
