序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
145,'920627,力王股份,19.89,1.95%,0.38,8371手,147手,19.85,19.89,0.30%,1.79%,1657万,48.06 ①,电力设备,19.99,19.38,19.65,19.51,3.13%,0.59,-24.92%,-80手,19.8,4219手,4152手,1.02,10手,49手,3.97,9445万,18.8亿元,4682万,9.31亿元,0.45%,-5.01%,6.00%,16.94%
146,'920395,朗鸿科技,9.56,1.92%,0.18,7913手,118手,9.54,9.56,0.10%,0.76%,751万,36.75 ①,专用设备,9.6,9.09,9.38,9.38,5.44%,1.06,-65.36%,-393手,9.49,2447手,5466手,0.45,52手,12手,5.83,1.53亿,14.6亿元,1.05亿,10.0亿元,-2.94%,-3.82%,2.64%,4.32%
147,'920675,秉扬科技,9.11,1.90%,0.17,1.45万手,193手,9.1,9.11,-0.11%,1.83%,1317万,29.52 ①,非金属材料Ⅲ,9.2,8.9,8.94,8.94,3.36%,0.83,-69.14%,-908手,9.1,5197手,9280手,0.56,47手,55手,2.48,1.72亿,15.7亿元,7902万,7.20亿元,-2.88%,-4.61%,6.30%,12.92%
148,'920204,沪江材料,16.14,1.89%,0.3,7870手,133手,16.12,16.14,0.12%,1.57%,1264万,42.90 ①,轻工制造,16.22,15.8,15.8,15.84,2.65%,0.57,69.02%,594手,16.06,3548手,4321手,0.82,71手,9手,3.04,9429万,15.2亿元,4999万,8.07亿元,-0.55%,-4.78%,4.85%,15.44%
149,'920703,广厦环能,11.38,1.88%,0.21,8806手,52手,11.37,11.38,-0.26%,1.15%,1001万,197.83 ①,专用设备,11.54,11.16,11.2,11.17,3.40%,0.86,-33.73%,-104手,11.37,2800手,6006手,0.47,19手,115手,1.52,1.51亿,17.2亿元,7627万,8.68亿元,-2.74%,-5.17%,4.55%,7.87%
150,'920195,三祥科技,15.79,1.87%,0.29,7426手,28手,15.79,15.8,-0.06%,1.05%,1177万,27.41 ①,底盘与发动机系统,16.06,15.41,15.69,15.5,4.19%,0.86,-62.10%,-234手,15.85,3728手,3698手,1.01,5手,62手,1.84,9803万,15.5亿元,7076万,11.2亿元,-0.63%,-4.76%,3.08%,7.15%
151,'920735,德源药业,26.7,1.87%,0.49,1.26万手,67手,26.7,26.73,0.00%,1.11%,3360万,15.52 ①,化学制剂,26.9,26.07,26.21,26.21,3.17%,0.79,52.76%,194手,26.63,5393手,7224手,0.75,21手,8手,2.38,1.29亿,34.5亿元,1.14亿,30.5亿元,-2.34%,-7.26%,4.08%,8.07%
152,'920284,灵鸽科技,34.77,1.85%,0.63,3.37万手,150手,34.77,34.79,0.03%,5.02%,1.17亿,569.72 ①,专用设备,35.59,34.08,34.6,34.14,4.42%,0.48,66.48%,687手,34.85,1.96万手,1.40万手,1.4,60手,5手,11.55,1.05亿,36.4亿元,6706万,23.3亿元,-5.03%,-10.57%,22.13%,57.89%
153,'920344,三元基因,21.08,1.84%,0.38,6412手,113手,21.08,21.09,-0.09%,0.56%,1347万,600.70 ①,生物制品,21.27,20.58,20.59,20.7,3.33%,0.44,-41.64%,-142手,21,2768手,3644手,0.76,19手,152手,4.1,1.22亿,25.7亿元,1.14亿,24.0亿元,-0.94%,-9.45%,2.10%,6.93%
154,'920415,恒拓开源,12.33,1.82%,0.22,1.45万手,205手,12.32,12.33,-0.24%,1.34%,1785万,325.69 ①,软件开发,12.48,12.14,12.15,12.11,2.81%,0.79,63.78%,350手,12.33,7468手,7016手,1.06,35手,6手,3.1,1.41亿,17.3亿元,1.08亿,13.3亿元,0.65%,-3.52%,4.91%,9.79%
155,'920509,同惠电子,32.63,1.81%,0.58,2.12万手,79手,32.63,32.64,-0.03%,2.52%,6908万,114.17 ①,通用设备,33.09,32.05,32.22,32.05,3.24%,0.63,53.82%,191手,32.58,1.04万手,1.08万手,0.95,10手,4手,13.72,1.60亿,52.3亿元,8399万,27.4亿元,-2.31%,-2.01%,9.81%,22.52%
156,'920249,利尔达,10.3,1.78%,0.18,7.16万手,684手,10.29,10.3,0.00%,5.74%,7279万,73.56 ①,通信设备,10.35,9.85,10.01,10.12,4.94%,0.62,-25.35%,-799手,10.17,3.38万手,3.78万手,0.9,561手,261手,5.6,4.22亿,43.4亿元,1.25亿,12.8亿元,-1.06%,-11.82%,20.40%,51.78%
