序,代码,名称,最新,涨幅,涨跌,成交量,现量,买一价,卖一价,涨速,换手,成交额,市盈率,所属行业,最高,最低,开盘,昨收,振幅,量比,委比,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅,6日涨幅,3日换手,6日换手
2662,'000803,山高环能,8.34,-0.71%,-0.06,12.7万手,962手,8.34,8.35,-0.12%,2.76%,1.05亿,22.23 ①,电力,8.51,8.07,8.4,8.4,5.24%,0.88,-66.45%,-2325手,8.27,7.10万手,5.57万手,1.27,104手,1206手,2.61,4.66亿,38.9亿元,4.60亿,38.3亿元,-1.30%,-4.79%,8.48%,18.52%
2663,'000802,北京文化,5.19,-0.95%,-0.05,44.7万手,2209手,5.18,5.19,-0.57%,6.25%,2.37亿,亏损 ①,影视动漫制作,5.5,5.14,5.26,5.24,6.87%,0.81,32.17%,2770手,5.3,22.3万手,22.5万手,0.99,2785手,696手,6.09,7.16亿,37.2亿元,7.16亿,37.1亿元,3.39%,5.27%,17.07%,45.02%
2664,'000801,四川九洲,13.41,0.60%,0.08,13.6万手,1478手,13.41,13.42,-0.22%,1.34%,1.81亿,229.92 ①,家用电器,13.46,13.15,13.29,13.33,2.33%,0.84,-33.17%,-1499手,13.31,7.16万手,6.48万手,1.11,624手,1668手,4.38,10.2亿,136亿元,10.2亿,136亿元,-2.90%,-5.56%,4.68%,9.31%
2665,'000800,一汽解放,6.33,2.43%,0.15,19.0万手,1344手,6.33,6.34,0.00%,0.39%,1.19亿,78.42 ①,商用载货车,6.35,6.16,6.2,6.18,3.07%,1.06,19.74%,1903手,6.25,6.65万手,12.3万手,0.54,1526手,768手,1.18,49.2亿,312亿元,49.2亿,311亿元,-1.09%,-4.52%,1.34%,2.21%
2666,'000799,酒鬼酒,41.91,0.87%,0.36,8.49万手,712手,41.91,41.92,0.00%,2.61%,3.59亿,102.60 ①,白酒Ⅱ,43.29,41.6,41.6,41.55,4.07%,0.88,79.14%,629手,42.31,4.51万手,3.99万手,1.13,295手,25手,3.61,3.25亿,136亿元,3.25亿,136亿元,-3.74%,-5.37%,8.26%,17.52%
2667,'000798,中水渔业,9.07,0.11%,0.01,5.30万手,523手,9.06,9.07,0.11%,1.45%,4798万,亏损 ①,农林牧渔,9.14,8.96,9.05,9.06,1.99%,0.81,-25.11%,-806手,9.05,2.75万手,2.56万手,1.08,330手,732手,8.19,3.66亿,33.2亿元,3.66亿,33.2亿元,-1.95%,-4.22%,4.85%,10.40%
2668,'000797,中国武夷,2.75,1.10%,0.03,19.5万手,1717手,2.74,2.75,0.00%,1.24%,5328万,亏损 ①,房地产开发,2.76,2.71,2.72,2.72,1.84%,0.8,-18.57%,-5382手,2.73,10.4万手,9.04万手,1.16,1255手,841手,0.93,15.7亿,43.2亿元,15.7亿,43.2亿元,-1.08%,-5.17%,4.11%,9.04%
2669,'000796,凯撒旅业,4.75,0.21%,0.01,27.5万手,1845手,4.74,4.75,0.00%,2.07%,1.30亿,679.54 ①,旅游及景区,4.8,4.67,4.75,4.74,2.74%,0.65,-35.48%,-1.19万手,4.73,14.9万手,12.7万手,1.17,4529手,4207手,8.39,16.0亿,76.2亿元,13.3亿,63.2亿元,1.71%,-2.66%,7.54%,18.07%
2670,'000795,英洛华,9.14,-0.87%,-0.08,11.4万手,1686手,9.13,9.14,0.00%,1.01%,1.04亿,37.36 ①,有色金属,9.24,9.05,9.2,9.22,2.06%,0.69,-22.68%,-1274手,9.12,7.22万手,4.23万手,1.71,784手,27手,3.81,11.3亿,104亿元,11.3亿,104亿元,-1.51%,-5.87%,3.94%,8.38%
2671,'000793,*ST华闻,2.71,-1.45%,-0.04,20.2万手,3372手,2.71,2.72,-0.37%,1.03%,5490万,亏损 ①,出版,2.76,2.7,2.75,2.75,2.18%,0.55,1.76%,1067手,2.72,14.0万手,6.19万手,2.27,2667手,3890手,176.8,20.0亿,54.1亿元,19.6亿,53.1亿元,-2.17%,1.88%,4.26%,10.36%
2672,'000792,盐湖股份,32.41,-2.82%,-0.94,123万手,9013手,32.41,32.42,-0.06%,2.33%,39.8亿,14.17 ①,钾肥,33.24,31.86,33.23,33.35,4.14%,1.1,-3.87%,-264手,32.31,62.7万手,60.5万手,1.04,1759手,2276手,3.84,52.9亿,1715亿元,52.9亿,1715亿元,-6.95%,-13.67%,6.11%,12.90%
2673,'000791,甘肃能源,9.71,2.86%,0.27,80.8万手,9101手,9.7,9.71,0.10%,4.18%,7.72亿,16.16 ①,电力,9.78,9.12,9.39,9.44,6.99%,0.59,-36.03%,-5697手,9.55,39.1万手,41.7万手,0.94,1243手,4749手,2.03,32.4亿,315亿元,19.4亿,188亿元,1.04%,-4.05%,13.16%,39.40%
2674,'000790,华神科技,4.45,1.14%,0.05,18.2万手,1362手,4.44,4.45,0.45%,2.93%,8058万,287.06 ①,中药Ⅱ,4.47,4.35,4.41,4.4,2.73%,0.7,-59.80%,-9300手,4.42,9.57万手,8.67万手,1.1,282手,1290手,3.86,6.24亿,27.8亿元,6.23亿,27.7亿元,1.60%,-3.26%,11.65%,23.87%
2675,'000789,万年青,4.77,-0.21%,-0.01,3.44万手,73手,4.76,4.77,0.00%,0.43%,1644万,亏损 ①,建筑材料,4.82,4.74,4.78,4.78,1.67%,0.87,-5.88%,-568手,4.78,1.73万手,1.71万手,1.01,673手,354手,0.59,7.97亿,38.0亿元,7.97亿,38.0亿元,-1.45%,-4.41%,1.41%,2.92%
2676,'000788,北大医药,5.72,1.24%,0.07,15.8万手,2110手,5.72,5.73,-0.17%,2.65%,9000万,31.57 ①,化学制剂,5.75,5.64,5.66,5.65,1.95%,0.52,-29.69%,-4544手,5.71,7.84万手,7.93万手,0.99,1625手,329手,2.29,5.96亿,34.1亿元,5.96亿,34.1亿元,-1.55%,-9.78%,9.18%,28.12%
2677,'000787,*ST创智,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2678,'000786,北新建材,24.72,0.45%,0.11,13.4万手,1053手,24.72,24.73,0.00%,0.80%,3.30亿,13.09 ①,建筑材料,24.74,24.29,24.63,24.61,1.83%,0.95,22.01%,466手,24.54,6.93万手,6.50万手,1.07,963手,16手,1.51,17.0亿,421亿元,16.9亿,418亿元,-3.44%,-6.89%,2.18%,5.00%
2679,'000785,居然智家,2.47,0.82%,0.02,28.6万手,2869手,2.46,2.47,0.41%,0.49%,7021万,61.92 ①,商贸零售,2.48,2.43,2.44,2.45,2.04%,0.69,-12.08%,-1.06万手,2.46,16.0万手,12.6万手,1.27,3040手,1.33万手,0.8,62.3亿,154亿元,58.0亿,143亿元,0.00%,-5.36%,1.82%,4.09%
2680,'000783,长江证券,8.4,0.00%,0,101万手,1.08万手,8.4,8.41,-0.12%,1.82%,8.41亿,7.81 ①,非银金融,8.45,8.24,8.35,8.4,2.50%,0.5,-40.69%,-8675手,8.34,51.5万手,49.4万手,1.04,1747手,1175手,1.26,55.3亿,465亿元,55.3亿,465亿元,-2.21%,-4.11%,6.54%,20.19%
2681,'000782,恒申新材,8.33,2.21%,0.18,29.2万手,5331手,8.32,8.33,0.00%,5.54%,2.41亿,亏损 ①,化学纤维,8.39,8.12,8.12,8.15,3.31%,0.48,30.03%,1943手,8.25,15.4万手,13.8万手,1.12,482手,90手,3.54,6.87亿,57.2亿元,5.28亿,44.0亿元,6.25%,-7.13%,26.92%,62.87%
2682,'000780,ST平能,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.1亿,--,10.1亿,--,--,--,--,--
2683,'000779,甘咨询,8.12,1.12%,0.09,6.73万手,479手,8.11,8.12,0.00%,1.45%,5413万,16.20 ①,建筑装饰,8.14,7.93,8.01,8.03,2.62%,0.92,-6.28%,-235手,8.05,3.33万手,3.40万手,0.98,458手,267手,0.95,4.65亿,37.7亿元,4.65亿,37.7亿元,-3.79%,-7.94%,5.47%,9.36%
2684,'000778,新兴铸管,4.31,-1.15%,-0.05,40.0万手,4820手,4.31,4.32,-0.23%,1.03%,1.72亿,21.65 ①,钢铁,4.35,4.26,4.35,4.36,2.06%,0.81,-16.54%,-8920手,4.3,23.9万手,16.1万手,1.48,730手,6641手,0.64,39.6亿,171亿元,38.9亿,168亿元,0.23%,-4.86%,3.67%,7.42%
2685,'000777,中核科技,19.39,-0.26%,-0.05,6.92万手,1626手,19.39,19.4,-0.10%,1.81%,1.33亿,亏损 ①,通用设备,19.5,19.06,19.45,19.44,2.26%,0.89,-60.94%,-752手,19.27,3.71万手,3.21万手,1.15,60手,199手,3.03,3.83亿,74.3亿元,3.83亿,74.3亿元,-1.72%,-6.10%,5.57%,11.95%
2686,'000776,广发证券,19.51,-0.81%,-0.16,69.9万手,3439手,19.5,19.51,0.10%,1.18%,13.5亿,8.11 ①,非银金融,19.73,19,19.64,19.67,3.71%,1.59,21.02%,1382手,19.3,36.1万手,33.7万手,1.07,1671手,30手,1.11,78.2亿,1527亿元,59.0亿,1152亿元,-4.13%,-7.23%,2.54%,4.90%
2687,'000769,*ST大菲,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2688,'000768,中航西飞,23.42,0.95%,0.22,26.8万手,2344手,23.41,23.42,0.00%,0.97%,6.23亿,66.12 ①,国防军工,23.45,23.03,23.15,23.2,1.81%,0.45,-29.63%,-1329手,23.24,14.3万手,12.5万手,1.14,397手,46手,2.89,27.8亿,651亿元,27.8亿,650亿元,-3.34%,-5.41%,3.81%,11.66%
2689,'000767,晋控电力,5.09,0.00%,0,394万手,3.40万手,5.08,5.09,0.20%,13.54%,20.1亿,62.26 ①,电力,5.3,4.84,5,5.09,9.04%,0.98,-30.71%,-3.04万手,5.1,201万手,193万手,1.04,1.45万手,2.79万手,2.59,30.8亿,157亿元,29.1亿,148亿元,8.30%,20.33%,43.90%,82.89%
2690,'000766,通化金马,23.32,2.91%,0.66,12.0万手,1108手,23.32,23.33,-0.09%,1.24%,2.78亿,617.21 ①,化学制剂,23.46,22.59,22.67,22.66,3.84%,0.8,25.37%,503手,23.12,5.59万手,6.43万手,0.87,358手,57手,9.72,9.66亿,225亿元,9.66亿,225亿元,0.17%,-1.31%,3.66%,9.03%
2691,'000765,*ST华信,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2692,'000763,锦州石化,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2693,'000762,西藏矿业,32.08,-3.08%,-1.02,27.2万手,2377手,32.08,32.09,-0.03%,5.23%,8.73亿,220.01 ①,锂,32.99,31.6,32.99,33.1,4.20%,0.81,-35.15%,-577手,32.04,14.6万手,12.6万手,1.16,11手,685手,5.68,5.21亿,167亿元,5.21亿,167亿元,-5.73%,-14.29%,16.01%,37.49%
2694,'000761,本钢板材,2.72,1.49%,0.04,17.9万手,1987手,2.71,2.72,0.00%,0.48%,4845万,亏损 ①,板材,2.74,2.64,2.7,2.68,3.73%,1.28,-19.42%,-2045手,2.71,8.83万手,9.08万手,0.97,1365手,141手,1.89,41.1亿,112亿元,37.1亿,101亿元,-0.37%,-6.21%,1.33%,2.37%
2695,'000760,斯太退,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.72亿,--,6.54亿,--,--,--,--,--
2696,'000759,中百集团,5.26,-1.68%,-0.09,29.8万手,1526手,5.25,5.26,0.00%,4.54%,1.58亿,亏损 ①,商贸零售,5.46,5.18,5.35,5.35,5.23%,1,5.73%,459手,5.3,17.1万手,12.7万手,1.34,2376手,763手,4.81,6.62亿,34.8亿元,6.56亿,34.5亿元,-2.41%,-3.13%,14.86%,27.16%
2697,'000758,中色股份,7,-1.41%,-0.1,38.2万手,3687手,7,7.01,-0.28%,1.93%,2.65亿,13.41 ①,有色金属,7.09,6.83,7.09,7.1,3.66%,0.72,27.21%,3340手,6.93,21.6万手,16.6万手,1.3,4925手,247手,2.24,19.9亿,139亿元,19.8亿,139亿元,-5.41%,-8.62%,6.97%,15.31%
2698,'000757,浩物股份,4.61,0.88%,0.04,12.3万手,941手,4.6,4.61,0.22%,2.32%,5688万,74.18 ①,汽车综合服务,4.67,4.54,4.61,4.57,2.84%,0.93,-10.83%,-462手,4.61,6.03万手,6.32万手,0.95,547手,73手,1.53,5.33亿,24.6亿元,5.33亿,24.6亿元,-2.74%,-6.68%,7.73%,14.71%
2699,'000756,新华制药,14.37,0.49%,0.07,3.25万手,821手,14.36,14.37,0.14%,0.65%,4655万,29.83 ①,化学制剂,14.43,14.25,14.34,14.3,1.26%,0.41,33.83%,1042手,14.34,1.70万手,1.55万手,1.09,469手,80手,1.87,6.97亿,100亿元,4.99亿,71.7亿元,-0.62%,-5.77%,2.62%,8.62%
