board_code,board_name
BK1468,其他建材Ⅲ
BK1476,化学工程
BK1479,航空运输
BK1480,机场
BK1481,港口
BK1482,航运
BK1483,高速公路
BK1484,公交
BK1485,铁路运输
BK1486,仓储物流
BK1487,公路货运
BK1488,跨境物流
BK1489,快递
BK1492,焦炭Ⅲ
BK1493,动力煤
BK1494,焦煤
BK1497,化妆品制造及其他
BK1499,医美服务
BK1500,医美耗材
BK1501,动物保健Ⅲ
BK1506,农业综合Ⅲ
BK1516,其他种植业
BK1518,种子
BK1519,电动乘用车
BK1520,综合乘用车
BK1525,车身附件及饰件
BK1526,底盘与发动机系统
BK1527,轮胎轮毂
BK1528,其他汽车零部件
BK1529,汽车电子电气系统
BK1534,印刷
BK1535,纸包装
BK1537,成品家居
BK1538,瓷砖地板
BK1539,定制家居
BK1540,其他家居用品
BK1541,卫浴制品
BK1542,文化用品
BK1543,娱乐用品
BK1545,特种纸
BK1546,电商服务
BK1547,跨境电商
BK1548,综合电商
BK1551,百货
BK1553,多业态零售
BK1556,教育运营及其他
BK1566,检测服务
BK1567,其他专业服务
BK1568,人力资源服务
BK1569,炼油化工
BK1570,其他石化
BK1571,油品石化贸易
BK1572,油气及炼化工程
BK1573,油田服务
BK1574,油气开采Ⅲ
BK1575,白酒Ⅲ
BK1588,通信工程及服务
BK1591,通信网络设备及器件
BK1594,化学制剂
BK1595,原料药
BK1597,血液制品
BK1598,疫苗
BK1600,医疗研发外包
BK1602,诊断服务
BK1603,体外诊断
BK1605,医疗设备
BK1613,铝
BK1614,铅锌
BK1615,铜
BK1616,白银
BK1617,黄金
BK1618,磁性材料
BK1619,其他金属新材料
BK1620,钴
BK1621,锂
BK1622,镍
BK1623,钼
BK1624,其他小金属
BK1625,钨
BK1626,稀土
BK1629,AI应用
BK1636,红利破净股
BK1646,消费电子概念
BK1647,电网概念
BK1648,电池技术
BK1649,油气资源
BK1650,通信技术
BK1651,显示技术
BK1657,病原体防治
BK1658,创新医疗服务
BK1659,精准诊断
BK1660,光纤概念
BK1753,光刻胶
