股票代码,股票名称,最低收盘价,最高收盘价,涨幅
002796.SZ,世嘉科技,24.37,32.02,31.39%
603228.SH,景旺电子,74.75,98.21,31.38%
300843.SZ,胜蓝股份,95.48,125.43,31.37%
300522.SZ,世名科技,11.32,14.87,31.36%
688766.SH,普冉股份,312.90,411.00,31.35%
301321.SZ,翰博高新,29.20,38.34,31.30%
688146.SH,中船特气,247.99,325.30,31.17%
688758.SH,赛分科技,23.01,30.18,31.16%
301248.SZ,杰创智能,50.87,66.72,31.16%
603890.SH,春秋电子,16.85,22.09,31.10%
603538.SH,美诺华,25.43,33.33,31.07%
688689.SH,银河微电,31.34,41.07,31.05%
688307.SH,DR中润光,37.76,49.48,31.04%
300131.SZ,英唐智控,13.18,17.27,31.03%
688620.SH,安凯微,12.49,16.35,30.90%
002396.SZ,星网锐捷,24.96,32.67,30.89%
001337.SZ,四川黄金,39.26,51.38,30.87%
688052.SH,纳芯微,181.44,237.30,30.79%
688082.SH,盛美上海,247.15,323.02,30.70%
001258.SZ,立新能源,12.19,15.93,30.68%
688759.SH,必贝特-U,21.62,28.25,30.67%
688121.SH,卓然股份,2.12,2.77,30.66%
001210.SZ,金房能源,18.40,24.04,30.65%
002759.SZ,天际股份,14.94,19.51,30.59%
301176.SZ,逸豪新材,38.14,49.80,30.57%
301308.SZ,江波龙,319.80,417.50,30.55%
001339.SZ,智微智能,65.43,85.39,30.51%
002407.SZ,多氟多,30.01,39.16,30.49%
688125.SH,安达智能,95.43,124.49,30.45%
300715.SZ,凯伦股份,11.06,14.42,30.38%
603936.SH,博敏电子,12.22,15.93,30.36%
600176.SH,中国巨石,34.06,44.39,30.33%
301603.SZ,乔锋智能,99.06,129.10,30.33%
300661.SZ,圣邦股份,94.40,123.00,30.30%
301281.SZ,科源制药,35.45,46.19,30.30%
300227.SZ,光韵达,9.36,12.19,30.24%
000811.SZ,冰轮环境,32.62,42.48,30.23%
600378.SH,昊华科技,37.70,49.09,30.21%
300937.SZ,药易购,24.35,31.70,30.18%
000510.SZ,新金路,13.32,17.34,30.18%
603618.SH,杭电股份,22.95,29.87,30.15%
300243.SZ,瑞丰高材,12.97,16.88,30.15%
603938.SH,三孚股份,33.99,44.22,30.10%
688319.SH,欧林生物,22.33,29.05,30.09%
002741.SZ,光华科技,20.22,26.30,30.07%
301366.SZ,一博科技,43.75,56.90,30.06%
688600.SH,皖仪科技,22.40,29.13,30.04%
600172.SH,黄河旋风,9.59,12.47,30.03%
002388.SZ,新亚制程,4.70,6.11,30.00%
002957.SZ,科瑞技术,31.79,41.31,29.95%
001326.SZ,联域股份,46.96,61.02,29.94%
301285.SZ,鸿日达,62.66,81.42,29.94%
301200.SZ,大族数控,223.27,290.09,29.93%
688308.SH,欧科亿,79.78,103.64,29.91%
000426.SZ,兴业银锡,31.31,40.67,29.89%
002585.SZ,双星新材,8.70,11.30,29.89%
688037.SH,芯源微,261.00,339.00,29.89%
300857.SZ,协创数据,204.80,265.99,29.88%
301421.SZ,波长光电,62.88,81.66,29.87%
301550.SZ,斯菱智驱,70.15,91.10,29.86%
003018.SZ,金富科技,31.60,41.03,29.84%
688700.SH,东威科技,48.36,62.79,29.84%
600613.SH,神奇制药,4.94,6.41,29.76%
300199.SZ,翰宇药业,20.44,26.52,29.75%
301096.SZ,百诚医药,38.60,50.06,29.69%
603163.SH,圣晖集成,67.00,86.89,29.69%
002824.SZ,和胜股份,19.26,24.96,29.60%
002235.SZ,安妮股份,8.05,10.43,29.57%
300820.SZ,英杰电气,43.30,56.06,29.47%
603038.SH,华立股份,12.56,16.26,29.46%
688135.SH,利扬芯片,20.51,26.55,29.45%
002484.SZ,江海股份,53.92,69.79,29.43%
301568.SZ,思泰克,54.75,70.85,29.41%
301389.SZ,隆扬电子,42.10,54.48,29.41%
300948.SZ,冠中生态,16.87,21.83,29.40%
603682.SH,锦和商管,10.18,13.16,29.27%
300434.SZ,金石亚药,9.95,12.86,29.25%
300179.SZ,四方达,28.62,36.99,29.25%
300935.SZ,盈建科,27.22,35.18,29.24%
603650.SH,彤程新材,50.77,65.58,29.17%
688653.SH,康希通信,11.01,14.22,29.16%
600549.SH,厦门钨业,46.42,59.95,29.15%
603175.SH,超颖电子,74.12,95.69,29.10%
300776.SZ,帝尔激光,94.91,122.53,29.10%
688535.SH,华海诚科,81.66,105.42,29.10%
301141.SZ,中科磁业,36.10,46.59,29.06%
605589.SH,圣泉集团,32.92,42.48,29.04%
600584.SH,长电科技,61.00,78.71,29.03%
300706.SZ,阿石创,42.17,54.41,29.03%
002229.SZ,鸿博股份,10.58,13.65,29.02%
300929.SZ,华骐环保,13.04,16.82,28.99%
688551.SH,科威尔,32.72,42.20,28.97%
603657.SH,春光科技,22.11,28.50,28.90%
301188.SZ,力诺药包,32.99,42.50,28.83%
300964.SZ,本川智能,45.95,59.18,28.79%
300939.SZ,秋田微,51.79,66.70,28.79%
603690.SH,至纯科技,21.20,27.30,28.77%
301005.SZ,超捷股份,66.08,85.09,28.77%
603065.SH,宿迁联盛,13.79,17.75,28.72%
603127.SH,昭衍新药,41.05,52.80,28.62%
603725.SH,天安新材,9.51,12.23,28.60%
603950.SH,长源东谷,48.30,62.10,28.57%
301042.SZ,安联锐视,27.01,34.72,28.54%
603903.SH,中持股份,11.05,14.20,28.51%
603439.SH,三力制药,10.53,13.53,28.49%
002779.SZ,中坚科技,61.49,79.00,28.48%
300382.SZ,斯莱克,12.54,16.11,28.47%
688428.SH,诺诚健华,24.86,31.92,28.40%
002409.SZ,雅克科技,120.91,155.24,28.39%
603757.SH,大元泵业,50.65,65.01,28.35%
603928.SH,兴业股份,10.37,13.31,28.35%
688785.SH,恒运昌,224.00,287.50,28.35%
688221.SH,前沿生物-U,17.12,21.97,28.33%
301130.SZ,西点药业,24.04,30.85,28.33%
301150.SZ,中一科技,31.89,40.91,28.28%
300943.SZ,春晖智控,22.35,28.67,28.28%
688601.SH,力芯微,36.20,46.42,28.23%
300671.SZ,富满微,50.06,64.19,28.23%
688729.SH,屹唐股份,21.48,27.51,28.07%
688268.SH,华特气体,121.50,155.60,28.07%
000636.SZ,风华高科,51.96,66.51,28.00%
301362.SZ,民爆光电,109.87,140.60,27.97%
002346.SZ,柘中股份,17.45,22.33,27.97%
002989.SZ,中天精装,19.82,25.36,27.95%
688315.SH,诺禾致源,12.90,16.50,27.91%
688079.SH,美迪凯,12.94,16.55,27.90%
301160.SZ,翔楼新材,35.04,44.80,27.85%
600833.SH,第一医药,9.77,12.49,27.84%
688253.SH,英诺特,55.82,71.34,27.80%
003043.SZ,华亚智能,58.10,74.25,27.80%
601231.SH,环旭电子,22.02,28.13,27.75%
301077.SZ,星华新材,19.27,24.61,27.71%
301026.SZ,浩通科技,17.87,22.82,27.70%
688583.SH,思看科技,72.58,92.68,27.69%
688138.SH,清溢光电,26.83,34.26,27.69%
605111.SH,新洁能,45.83,58.52,27.69%
688379.SH,华光新材,42.87,54.74,27.69%
688479.SH,友车科技,28.14,35.93,27.68%
603151.SH,邦基科技,12.43,15.87,27.67%
300692.SZ,中赋科技,8.10,10.34,27.65%
300976.SZ,达瑞电子,45.51,58.09,27.64%
300270.SZ,中威电子,10.50,13.40,27.62%
002916.SZ,深南电路,302.31,385.80,27.62%
301365.SZ,矩阵股份,34.02,43.41,27.60%
688057.SH,金达莱,15.41,19.66,27.58%
688807.SH,优迅股份,219.84,280.40,27.55%
600288.SH,大恒科技,10.37,13.22,27.48%
300938.SZ,信测标准,23.37,29.79,27.47%
300975.SZ,商络电子,22.14,28.22,27.46%
300711.SZ,广哈通信,15.63,19.92,27.45%
300346.SZ,南大光电,46.63,59.39,27.36%
688320.SH,禾川科技,28.95,36.86,27.32%
688062.SH,迈威生物-U,26.81,34.12,27.27%
301007.SZ,德迈仕,26.93,34.27,27.26%
301071.SZ,力量钻石,48.42,61.60,27.22%
002724.SZ,海洋王,5.33,6.78,27.20%
688133.SH,泰坦科技,19.73,25.09,27.17%
301307.SZ,美利信,42.38,53.88,27.14%
605060.SH,联德股份,35.00,44.49,27.11%
300283.SZ,温州宏丰,12.63,16.05,27.08%
300806.SZ,斯迪克,39.27,49.90,27.07%
600829.SH,人民同泰,9.31,11.83,27.07%
603203.SH,快克智能,35.50,45.09,27.01%
301132.SZ,满坤科技,27.98,35.52,26.95%
688372.SH,伟测科技,103.20,131.00,26.94%
300401.SZ,花园生物,12.55,15.93,26.93%
605358.SH,立昂微,35.86,45.51,26.91%
688388.SH,嘉元科技,22.90,29.04,26.81%
600857.SH,宁波中百,16.03,20.32,26.76%
688312.SH,燕麦科技,39.05,49.50,26.76%
002290.SZ,禾盛新材,50.04,63.43,26.76%
301128.SZ,强瑞技术,90.29,114.45,26.76%
000692.SZ,惠天热电,3.85,4.88,26.75%
002721.SZ,金一文化,2.43,3.08,26.75%
688757.SH,胜科纳米,26.82,33.99,26.73%
688571.SH,杭华股份,7.52,9.53,26.73%
000859.SZ,国风新材,8.27,10.48,26.72%
301107.SZ,瑜欣电子,17.68,22.40,26.70%
300604.SZ,长川科技,227.42,288.08,26.67%
688536.SH,思瑞浦,216.82,274.50,26.60%
301092.SZ,争光股份,36.73,46.49,26.57%
300566.SZ,激智科技,22.65,28.65,26.49%
301387.SZ,光大同创,46.93,59.35,26.46%
600226.SH,亨通股份,4.99,6.31,26.45%
688593.SH,新相微,26.55,33.57,26.44%
603259.SH,药明康德,128.50,162.33,26.33%
688416.SH,恒烁股份,59.56,75.24,26.33%
001378.SZ,德冠新材,17.04,21.52,26.29%
300491.SZ,通合科技,24.67,31.14,26.23%
688347.SH,华虹公司,219.50,276.99,26.19%
002119.SZ,康强电子,19.20,24.22,26.15%
688031.SH,星环科技-U,93.60,118.07,26.14%
605198.SH,安德利,54.51,68.73,26.09%
002156.SZ,通富微电,51.34,64.72,26.06%
301382.SZ,蜂助手,35.50,44.75,26.06%
002384.SZ,东山精密,162.81,205.19,26.03%
603696.SH,安记食品,12.99,16.37,26.02%
301172.SZ,君逸数码,17.76,22.38,26.01%
301070.SZ,开勒股份,53.69,67.60,25.91%
600110.SH,诺德股份,8.31,10.46,25.87%
688012.SH,中微公司,309.85,389.99,25.86%
301379.SZ,天山电子,18.54,23.33,25.84%
603988.SH,中电电机,18.77,23.61,25.79%
605168.SH,三人行,35.39,44.51,25.77%
300051.SZ,琏升科技,7.81,9.82,25.74%
688056.SH,莱伯泰科,35.09,44.10,25.68%
603626.SH,科森科技,13.25,16.65,25.66%
002348.SZ,高乐股份,10.02,12.59,25.65%
002849.SZ,威星智能,13.73,17.25,25.64%
002378.SZ,章源钨业,22.51,28.28,25.63%
300757.SZ,罗博特科,410.80,516.00,25.61%
300920.SZ,润阳科技,27.71,34.80,25.59%
603790.SH,雅运股份,20.48,25.72,25.59%
688003.SH,天准科技,63.66,79.93,25.56%
